nome,departamento,pagina_publica,Centro,lattes
ADNA CRISTINA BARBOSA DE SOUSA,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=2016620,CBIOTEC,http://lattes.cnpq.br/7683967653033181
AMALIA GEIZA GAMA PESSOA,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1297184,CBIOTEC,http://lattes.cnpq.br/7413783656311087
FABIOLA DA CRUZ NUNES,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1717729,CBIOTEC,
IAN PORTO GURGEL DO AMARAL,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=2016711,CBIOTEC,http://lattes.cnpq.br/8632644924297413
JULIANA FRANCO ALMEIDA,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1110112,CBIOTEC,
KRISTERSON REINALDO DE LUNA FREIRE,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1961965,CBIOTEC,
LUCIANO COUTINHO SILVA,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=2147943,CBIOTEC,
MARIA DO SOCORRO DE FRANCA FALCAO,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1971886,CBIOTEC,http://lattes.cnpq.br/5166645924133924
RAFAEL DE ALMEIDA TRAVASSOS,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1956521,CBIOTEC,
SANDRA RODRIGUES MASCARENHAS,CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/docente/portal.jsf?siape=1340309,CBIOTEC,http://lattes.cnpq.br/4300081489772959
